id,parent_id,name,created_at,updated_at
"100000","000000",类目,2016/10/1,2016/10/1
"110000","100000",电商/团购,2016/10/1,2016/10/1
"110100","110000",团购,2016/10/1,2016/10/1
"110200","110000",海淘,2016/10/1,2016/10/1
"110300","110000",线上商超,2016/10/1,2016/10/1
"120000","100000",线下零售,2016/10/1,2016/10/1
"120100","120000",超市,2016/10/1,2016/10/1
"120200","120000",便利店,2016/10/1,2016/10/1
"120300","120000",自动贩卖机,2016/10/1,2016/10/1
"120400","120000",百货/商圈/购物中心,2016/10/1,2016/10/1
"120500","120000",其他综合零售,2016/10/1,2016/10/1
"130000","100000",餐饮/食品,2016/10/1,2016/10/1
"130100","130000",食品,2016/10/1,2016/10/1
"130200","130000",餐饮,2016/10/1,2016/10/1
"140000","100000",生活/家居,2016/10/1,2016/10/1
"140100","140000",家装建材/家居家纺,2016/10/1,2016/10/1
"140200","140000",数码家电/办公设备,2016/10/1,2016/10/1
"140300","140000",计生用品,2016/10/1,2016/10/1
"140400","140000",美妆/护肤,2016/10/1,2016/10/1
"140500","140000",鲜花/盆栽/室内装饰品,2016/10/1,2016/10/1
"140600","140000",交通工具/配件/改装,2016/10/1,2016/10/1
"140700","140000",宠物/宠物食品/饲料,2016/10/1,2016/10/1
"140800","140000",母婴用品/儿童玩具,2016/10/1,2016/10/1
"140900","140000",服饰/箱包/饰品,2016/10/1,2016/10/1
"141000","140000",户外/运动/健身器材/安防,2016/10/1,2016/10/1
"141100","140000",钟表/眼镜,2016/10/1,2016/10/1
"141200","140000",黄金珠宝/钻石/玉石,2016/10/1,2016/10/1
"141300","140000",书籍/音像/文具/乐器,2016/10/1,2016/10/1
"150000","100000",生活/咨询服务,2016/10/1,2016/10/1
"150100","150000",咨询/法律咨询/金融咨询等,2016/10/1,2016/10/1
"150200","150000",婚庆/摄影,2016/10/1,2016/10/1
"150300","150000",装饰/设计,2016/10/1,2016/10/1
"150400","150000",家政/维修服务,2016/10/1,2016/10/1
"150500","150000",广告/会展/活动策划,2016/10/1,2016/10/1
"150600","150000",人才中介机构/招聘/猎头,2016/10/1,2016/10/1
"150700","150000",职业社交/婚介/交友,2016/10/1,2016/10/1
"150800","150000",网上生活服务平台,2016/10/1,2016/10/1
"160000","100000",票务/旅游,2016/10/1,2016/10/1
"160100","160000",旅行社,2016/10/1,2016/10/1
"160200","160000",旅游服务平台,2016/10/1,2016/10/1
"160300","160000",机票/机票代理,2016/10/1,2016/10/1
"160400","160000",娱乐票务,2016/10/1,2016/10/1
"160500","160000",交通票务,2016/10/1,2016/10/1
"160600","160000",旅馆/酒店/度假区,2016/10/1,2016/10/1
"160700","160000",景区,2016/10/1,2016/10/1
"160800","160000",宗教,2016/10/1,2016/10/1
"170000","100000",网络虚拟服务,2016/10/1,2016/10/1
"170100","170000",门户/资讯/论坛,2016/10/1,2016/10/1
"170200","170000",在线图书/视频/音乐,2016/10/1,2016/10/1
"170300","170000",软件/建站/技术开发,2016/10/1,2016/10/1
"170400","170000",网络推广/网络广告,2016/10/1,2016/10/1
"170500","170000",游戏,2016/10/1,2016/10/1
"180000","100000",教育/培训,2016/10/1,2016/10/1
"180100","180000",教育/培训/考试缴费/学费,2016/10/1,2016/10/1
"180200","180000",公立院校,2016/10/1,2016/10/1
"180300","180000",私立院校,2016/10/1,2016/10/1
"190000","100000",娱乐/健身服务,2016/10/1,2016/10/1
"190100","190000",美容/健身类会所,2016/10/1,2016/10/1
"190200","190000",俱乐部/休闲会所,2016/10/1,2016/10/1
"190300","190000",游艺厅/KTV/网吧,2016/10/1,2016/10/1
"200000","100000",医疗,2016/10/1,2016/10/1
"200100","200000",保健器械/医疗器械/非处方药品,2016/10/1,2016/10/1
"200200","200000",保健信息咨询平台,2016/10/1,2016/10/1
"200300","200000",私立/民营医院/诊所,2016/10/1,2016/10/1
"200400","200000",公立医院,2016/10/1,2016/10/1
"200500","200000",挂号平台,2016/10/1,2016/10/1
"210000","100000",房地产,2016/10/1,2016/10/1
"210100","210000",房地产,2016/10/1,2016/10/1
"220000","100000",收藏/拍卖,2016/10/1,2016/10/1
"220100","220000",非文物类收藏品,2016/10/1,2016/10/1
"220200","220000",文物经营/文物复制品销售,2016/10/1,2016/10/1
"220300","220000",拍卖/典当,2016/10/1,2016/10/1
"230000","100000",苗木/绿化,2016/10/1,2016/10/1
"230100","230000",苗木种植/园林绿化,2016/10/1,2016/10/1
"230200","230000",化肥/农用药剂等,2016/10/1,2016/10/1
"240000","100000",交通运输服务类,2016/10/1,2016/10/1
"240100","240000",港口经营\港口理货,2016/10/1,2016/10/1
"240200","240000",租车,2016/10/1,2016/10/1
"240300","240000",加油,2016/10/1,2016/10/1
"240400","240000",物流/快递,2016/10/1,2016/10/1
"250000","100000",生活缴费,2016/10/1,2016/10/1
"250100","250000",有线电视缴费,2016/10/1,2016/10/1
"250200","250000",停车缴费,2016/10/1,2016/10/1
"250300","250000",物业管理费,2016/10/1,2016/10/1
"250400","250000",城市交通/高速收费,2016/10/1,2016/10/1
"250500","250000",其他生活缴费,2016/10/1,2016/10/1
"250600","250000",水电煤缴费/交通罚款等生活缴费,2016/10/1,2016/10/1
"250700","250000",事业单位,2016/10/1,2016/10/1
"260000","100000",公益,2016/10/1,2016/10/1
"260100","260000",公益,2016/10/1,2016/10/1
"270000","100000",通信,2016/10/1,2016/10/1
"270100","270000",电信运营商,2016/10/1,2016/10/1
"270200","270000",宽带收费,2016/10/1,2016/10/1
"270300","270000",话费通讯,2016/10/1,2016/10/1
"280000","100000",金融,2016/10/1,2016/10/1
"280100","280000",财经资讯,2016/10/1,2016/10/1
"280200","280000",股票软件类,2016/10/1,2016/10/1
"280300","280000",保险业务,2016/10/1,2016/10/1
"280400","280000",众筹,2016/10/1,2016/10/1
"290000","100000",其他,2016/10/1,2016/10/1
"290100","290000",其他行业,2016/10/1,2016/10/1
